UDI;Product ID;Type;Air temperature [K];Process temperature [K];Rotational speed [rpm];Torque [Nm];Tool wear [min];Failure Type
9727;L56906;L;298.8;309.8;1557;37.2;139;No Failure
859;M15718;M;296.2;307;1516;37.6;25;No Failure
5472;L52651;L;302.7;312.3;1346;61.2;170;Random Failures
4111;L51290;L;302;310.6;1361;46.7;182;No Failure
7469;L54648;L;300.3;311.6;1560;37.7;107;No Failure
5355;L52534;L;303.4;312.6;1462;37.5;118;No Failure
1219;M16078;M;297;308.2;1702;30.7;124;No Failure
2204;L49383;L;299.8;309;1614;30.8;100;No Failure
5812;L52991;L;301.3;311.1;1454;40.3;191;No Failure
7368;M22227;M;299.5;310.1;1359;61.1;67;No Failure
3281;M18140;M;301.2;309.9;1456;50.8;15;No Failure
5723;L52902;L;302.2;311.7;1488;44.6;178;No Failure
5950;M20809;M;300.7;310.8;1506;44;97;No Failure
9704;L56883;L;298.9;310;1422;43.6;78;No Failure
4549;L51728;L;302.6;310.5;1511;37.2;197;No Failure
8280;L55459;L;298.8;310.6;1803;25.4;209;No Failure
7419;M22278;M;300.2;311.4;1427;39.7;196;No Failure
6768;L53947;L;301.3;310.9;1509;41.7;16;No Failure
7941;M22800;M;300.7;311.7;1532;40;0;No Failure
2879;H32292;H;300.5;309.4;1502;34.3;40;No Failure
8758;L55937;L;297.5;308.8;1587;34.9;166;No Failure
2288;L49467;L;299.4;308.6;1746;26.8;107;No Failure
7089;M21948;M;300.6;310.3;1614;32.7;0;No Failure
1472;L48651;L;298.5;309.6;1421;53.6;122;No Failure
3098;M17957;M;299.9;309.2;1353;49.8;182;No Failure
1024;L48203;L;296.2;307.3;1881;24.3;40;No Failure
4887;L52066;L;303.8;312.5;1372;45.7;180;No Failure
3852;H33265;H;302.2;310.9;1415;48.4;185;No Failure
1661;L48840;L;298.2;308;1499;44.1;166;No Failure
1232;M16091;M;297.2;308.5;1604;40.7;158;No Failure
4609;M19468;M;303;311.2;1519;38;139;No Failure
3430;H32843;H;301.5;310.5;1551;34.3;166;No Failure
7749;L54928;L;300.4;311.7;1515;47.4;170;No Failure
3122;L50301;L;300.1;309.4;2141;17.9;33;No Failure
2290;L49469;L;299.4;308.7;1504;37.8;112;No Failure
8828;L56007;L;297.2;308.7;1463;49.9;146;No Failure
9714;L56893;L;299.1;310.2;1496;45;104;No Failure
5416;M20275;M;302.6;312.4;1410;50.3;33;No Failure
3067;M17926;M;300.1;309.2;1457;44.3;98;No Failure
5004;L52183;L;303.7;312.8;1437;51.3;42;No Failure
7486;L54665;L;300.3;311.6;1595;38.8;154;No Failure
5200;L52379;L;303.8;312.8;1503;40;154;No Failure
2715;M17574;M;299.6;309.1;1366;55.2;95;No Failure
7539;M22398;M;300.2;311.4;1450;38.5;68;No Failure
8413;M23272;M;298.6;309.7;1314;49.7;136;No Failure
4540;L51719;L;302.5;310.3;1592;32.6;174;No Failure
8352;M23211;M;298.7;309.6;1686;26.2;189;No Failure
4762;H34175;H;303.7;311.9;1332;52.7;66;Heat Dissipation Failure
2843;L50022;L;300.3;309.3;1345;53.5;192;No Failure
5338;M20197;M;303.3;312.6;1482;44.4;73;No Failure
5899;L53078;L;301;310.7;1300;57.2;174;No Failure
1065;M15924;M;296.8;307.9;1409;44.3;145;No Failure
8729;M23588;M;297.2;308.7;1398;38.1;88;No Failure
9356;L56535;L;298.3;308.9;1708;28;42;No Failure
7087;L54266;L;300.6;310.4;2514;13.4;215;No Failure
7691;M22550;M;300.5;311.6;1577;36.5;4;No Failure
4043;L51222;L;302;310.9;1564;39;15;No Failure
6251;L53430;L;300.8;310.2;1520;37.7;193;No Failure
889;M15748;M;295.6;306.1;1651;28.1;110;No Failure
2194;M17053;M;299.5;308.9;1448;42.9;74;No Failure
5759;L52938;L;301.9;311.3;1501;40.8;59;No Failure
8452;L55631;L;298.5;310;1435;42.5;25;No Failure
7899;L55078;L;300.8;312.5;1423;47.3;123;No Failure
2937;M17796;M;300.9;309.7;1394;48.8;192;No Failure
8610;L55789;L;297.4;308.3;1475;40.5;222;Tool Wear Failure
3867;L51046;L;302.6;311.6;1311;53.2;0;No Failure
1246;M16105;M;297.1;308.4;1588;33.4;204;No Failure
2508;H31921;H;299.2;309.1;1410;47.1;9;No Failure
882;L48061;L;295.7;306.2;1464;46.2;92;No Failure
629;M15488;M;298.4;310.1;1335;57.8;96;No Failure
2777;L49956;L;300.1;309.4;1453;47.6;28;No Failure
3849;L51028;L;302.3;310.9;1720;28.1;178;No Failure
6555;M21414;M;301.4;310.7;1639;29.8;127;No Failure
2810;L49989;L;299.9;309.2;1598;34.6;111;No Failure
6926;M21785;M;301.1;311.6;1266;55.5;210;No Failure
3298;L50477;L;301.2;310.3;1548;38.6;59;No Failure
5581;M20440;M;302.6;312.2;1458;38.8;34;No Failure
9609;M24468;M;298.9;310.1;1513;41.5;80;No Failure
9046;L56225;L;297.4;308.4;1603;34.6;65;No Failure
7952;M22811;M;300.9;311.8;1843;24.5;25;No Failure
4472;L51651;L;302.8;310.6;1670;29.1;2;No Failure
2498;M17357;M;299.2;308.9;1521;42.3;215;No Failure
2878;M17737;M;300.5;309.4;1655;32.1;37;No Failure
9366;M24225;M;298;308.6;1254;55.8;65;No Failure
2484;M17343;M;298.9;308.7;1402;49.8;167;No Failure
7595;L54774;L;300.6;311.3;1531;38.5;0;No Failure
3276;H32689;H;301.3;310;1532;36.3;2;No Failure
1248;L48427;L;297.2;308.5;1513;42.9;212;No Failure
7813;L54992;L;300;311.5;1666;32;128;No Failure
9694;L56873;L;298.9;310;1693;28.8;56;No Failure
2993;M17852;M;300.5;309.7;1685;29.4;140;No Failure
9759;L56938;L;298.6;309.8;2271;16.2;218;Tool Wear Failure
3712;L50891;L;302.2;311.5;1543;38.5;37;No Failure
7021;L54200;L;300.8;310.8;1460;53.8;41;No Failure
8609;L55788;L;297.4;308.4;1369;50.6;220;Overstrain Failure
7830;L55009;L;299.8;311.2;1664;28.3;173;No Failure
5347;L52526;L;303.4;312.7;1534;35.5;98;No Failure
1692;L48871;L;297.9;307.5;1602;38.3;21;No Failure
108;M14967;M;298.8;308.8;1497;46.8;72;No Failure
4835;M19694;M;303.4;311.9;1510;42.2;36;No Failure
1199;H30612;H;296.9;307.9;1557;36.5;63;No Failure
5129;L52308;L;304.2;313.4;1434;42.5;175;No Failure
116;L47295;L;298.8;308.6;1431;45.7;97;No Failure
3376;M18235;M;301.4;310.6;1459;46.9;27;No Failure
9054;M23913;M;297.4;308.5;1638;32.2;84;No Failure
5525;L52704;L;302.6;311.9;1633;30.9;89;No Failure
2706;L49885;L;299.7;309.2;1326;64.8;71;No Failure
5490;L52669;L;302.6;312.1;1499;35;215;Random Failures
3489;L50668;L;301.9;310.9;1379;54.8;99;No Failure
6005;L53184;L;300.5;310.4;1761;26.5;12;No Failure
2439;M17298;M;299.1;308.4;1330;53.6;62;No Failure
7996;L55175;L;301;312.2;1776;28.8;138;No Failure
6105;M20964;M;300.8;310.8;1461;41.3;53;No Failure
6578;L53757;L;301.4;310.4;1388;45.3;188;No Failure
5571;M20430;M;302.4;312.1;1492;47.7;7;No Failure
365;L47544;L;297.6;308.4;1407;55.2;86;No Failure
9237;L56416;L;298.1;308.7;1556;31.6;145;No Failure
8603;L55782;L;297.4;308.1;1729;31.7;204;No Failure
5014;M19873;M;303.8;312.9;1594;35.2;69;No Failure
2070;H31483;H;299.7;309.6;1553;41;179;No Failure
9732;L56911;L;298.8;310;1389;49.6;149;No Failure
1833;M16692;M;297.8;307.4;1330;51.7;183;No Failure
4398;L51577;L;302.4;310.2;1539;37.7;29;No Failure
1186;L48365;L;297.3;308.4;1491;46.5;29;No Failure
2601;L49780;L;299.3;309;1422;47.3;25;No Failure
2157;M17016;M;299.4;308.9;1457;41.5;201;No Failure
2896;M17755;M;300.7;309.6;1473;48.1;87;No Failure
5119;M19978;M;304.2;313.6;1512;33.4;146;No Failure
4226;L51405;L;302.1;310.7;1359;49.3;41;Heat Dissipation Failure
2988;M17847;M;300.6;309.8;1659;28.9;127;No Failure
9951;L57130;L;298.1;307.8;1413;54.1;113;No Failure
7545;L54724;L;300.2;311.4;1425;44.2;84;No Failure
5317;M20176;M;303.6;312.8;1689;33.1;16;No Failure
5970;M20829;M;300.4;310.8;1491;35.9;148;No Failure
2549;M17408;M;299.3;309.2;1440;37.5;111;No Failure
8637;L55816;L;297.5;308.4;1723;27.3;67;No Failure
9543;L56722;L;299.6;310.9;1716;28.5;117;No Failure
2228;L49407;L;299.5;308.8;1965;20.4;164;No Failure
221;L47400;L;298.3;308.5;1416;52.7;151;No Failure
4030;H33443;H;302;310.9;1679;29;222;No Failure
7647;L54826;L;300.4;311.4;1936;23.9;131;No Failure
868;H30281;H;295.9;306.5;1594;33.2;55;No Failure
4343;M19202;M;301.7;309.8;1284;68.2;111;Power Failure
3280;L50459;L;301.2;309.9;1382;52.4;13;No Failure
6308;L53487;L;301;310.3;1617;34.5;126;No Failure
2001;L49180;L;298.4;308.1;1279;53.1;9;No Failure
1356;M16215;M;298.6;310;1681;35.5;44;No Failure
7467;H36880;H;300.3;311.6;1801;23.6;97;No Failure
3572;M18431;M;301.7;310.6;1691;27.7;105;No Failure
7775;L54954;L;300.3;311.5;1634;31.9;36;No Failure
3750;L50929;L;302.4;311.1;1652;33.9;139;No Failure
3117;L50296;L;300;309.2;1566;34.4;18;No Failure
5573;L52752;L;302.4;312;1545;36.4;12;No Failure
1575;L48754;L;298.2;308.2;1478;50.1;166;No Failure
5010;L52189;L;303.7;312.8;1523;40.7;59;No Failure
3896;M18755;M;302.3;311.2;1546;40;71;No Failure
9562;L56741;L;299.6;310.9;1853;26.3;166;No Failure
530;L47709;L;297.6;309.5;1569;36.2;63;No Failure
5452;L52631;L;303;312.7;1361;48.8;120;No Failure
5083;H34496;H;304.1;313.2;1590;43.4;52;No Failure
5627;H35040;H;302.7;312.1;1603;32.5;148;No Failure
962;L48141;L;295.8;306.5;1493;40.5;90;No Failure
1898;L49077;L;297.8;307.4;1418;41.2;155;No Failure
6028;M20887;M;300.7;311;1413;44.3;72;No Failure
9565;L56744;L;299.8;311.1;1820;24.9;174;No Failure
7040;H36453;H;300.6;310.5;1519;37;91;No Failure
371;M15230;M;297.5;308.3;1622;37.2;103;No Failure
8532;L55711;L;298.6;309.3;1449;46.5;26;No Failure
3046;L50225;L;300.2;309.4;1526;35.3;46;No Failure
4944;H34357;H;303.6;312.6;1436;42;110;No Failure
4498;L51677;L;302.5;310.3;1523;36;72;No Failure
4350;L51529;L;301.9;309.7;1595;31.4;133;No Failure
1417;M16276;M;298.7;309.9;2083;18.2;205;No Failure
1223;L48402;L;297;308.3;1399;59;135;No Failure
5257;L52436;L;303.5;313;1393;51.6;80;No Failure
9938;L57117;L;298.3;308.1;1505;46.1;80;No Failure
3309;L50488;L;301.4;310.4;1433;43.4;86;No Failure
9839;L57018;L;298.4;309.2;1425;45.5;11;No Failure
2468;M17327;M;298.9;308.6;1574;33.5;128;No Failure
6769;H36182;H;301.3;310.8;1434;39.5;18;No Failure
7967;L55146;L;301;312.2;1602;35.9;67;No Failure
7035;H36448;H;300.6;310.6;1830;26.2;78;No Failure
4138;L51317;L;301.7;310.1;1384;50.5;38;No Failure
7679;M22538;M;300.6;311.7;1389;52.1;210;No Failure
5784;H35197;H;301.8;311.1;1543;36.4;120;No Failure
1345;L48524;L;298.5;310.1;1809;28.9;20;No Failure
8881;L56060;L;298;309.2;1458;39.8;87;No Failure
8808;M23667;M;297.4;308.6;1604;32.8;85;No Failure
9529;M24388;M;299.1;310.3;1233;59;81;No Failure
8964;M23823;M;297.2;307.9;1687;30.4;82;No Failure
2011;L49190;L;298.6;308.3;1278;60.5;32;No Failure
9422;M24281;M;298.1;308.5;1382;54.5;17;No Failure
9735;H39148;H;298.9;310.1;1458;44.3;156;No Failure
3898;M18757;M;302.2;311.1;1640;32.8;77;No Failure
2573;M17432;M;299.4;309.1;1352;44.7;172;No Failure
7045;M21904;M;300.7;310.6;1505;35.6;105;No Failure
4183;L51362;L;302.4;310.7;1362;54.8;155;Heat Dissipation Failure
8712;L55891;L;297.1;308.5;1733;28.7;50;No Failure
5887;L53066;L;301.4;311.1;1494;41.9;142;No Failure
780;L47959;L;296.8;308;1666;29.8;41;No Failure
2346;L49525;L;299.2;308.4;1475;38.7;22;No Failure
4193;M19052;M;302.5;311;1463;43.1;181;No Failure
8122;L55301;L;300.2;311.6;1827;27;22;No Failure
565;H29978;H;297.6;309.6;1669;32.1;155;No Failure
342;M15201;M;297.4;308.2;1530;32.6;22;No Failure
2710;L49889;L;299.6;309.1;1641;35.8;81;No Failure
1261;L48440;L;297.6;309;1528;33.8;22;No Failure
8404;L55583;L;298.5;309.6;1462;45.1;115;No Failure
4369;L51548;L;302;310;1664;28.6;190;No Failure
6951;H36364;H;300.7;311.3;1374;53.1;66;No Failure
9595;L56774;L;299.1;310.3;1727;28.7;43;No Failure
6027;L53206;L;300.7;311;1403;48.3;70;No Failure
3604;L50783;L;301.7;310.7;1542;40;188;No Failure
6855;L54034;L;301;311.2;1511;42.9;26;No Failure
515;L47694;L;297.4;309.2;1620;33.2;28;No Failure
8838;M23697;M;297.5;309.1;1540;38.5;176;No Failure
2965;L50144;L;300.7;309.5;1692;30.3;64;No Failure
385;L47564;L;297.5;308.5;1712;26.8;136;No Failure
5879;L53058;L;301.4;311;1533;45.8;125;No Failure
4804;L51983;L;303.6;312.5;1710;31.4;180;No Failure
4483;H33896;H;302.7;310.5;1568;36.9;28;No Failure
3341;M18200;M;301.5;310.8;1452;44.1;157;No Failure
5052;L52231;L;303.9;313;1480;39.9;176;No Failure
3773;L50952;L;302.4;311.1;1448;44.8;195;No Failure
7371;M22230;M;299.6;310.1;1455;46.1;76;No Failure
8863;M23722;M;298;309.2;1558;41.7;35;No Failure
9741;M24600;M;298.9;310.1;1655;31.5;172;No Failure
2811;L49990;L;299.8;309.1;1772;24.8;113;No Failure
6540;L53719;L;301.4;310.7;1436;54.1;90;No Failure
7585;L54764;L;300.4;311.2;1472;37.3;187;No Failure
8112;M22971;M;300.4;311.8;1553;33.1;209;Tool Wear Failure
4907;H34320;H;303.6;312.4;1436;45.6;9;No Failure
7845;L55024;L;300.1;311.7;1503;42.6;208;No Failure
3881;L51060;L;302.5;311.6;1595;29.5;35;No Failure
8471;L55650;L;298.7;309.9;1464;38;74;No Failure
978;L48157;L;296;306.7;1917;21;127;No Failure
403;L47582;L;297.4;308.6;1678;32.3;180;No Failure
2994;M17853;M;300.5;309.8;1370;55.9;143;No Failure
472;H29885;H;297.3;308.8;1419;42.4;139;No Failure
8036;L55215;L;300.7;311.7;1910;19.7;13;No Failure
372;L47551;L;297.5;308.4;1604;38.1;106;No Failure
2222;L49401;L;299.6;309;1372;60.4;149;No Failure
8457;L55636;L;298.6;309.9;1556;38.6;36;No Failure
1033;L48212;L;296.3;307.4;1648;34;60;No Failure
4520;L51699;L;302.4;310.4;1666;29.7;125;No Failure
9882;L57061;L;298.8;309.8;1493;38.5;132;No Failure
7408;H36821;H;299.8;310.9;1427;47.2;168;No Failure
9192;M24051;M;297.9;309;1970;21.6;37;No Failure
7116;M21975;M;301;310.6;1460;53.6;74;No Failure
6361;L53540;L;300.1;309.7;1441;40.1;46;No Failure
9613;M24472;M;299;310.2;1625;31.8;89;No Failure
3806;M18665;M;302.4;311;1580;36.5;64;No Failure
6859;L54038;L;301;311.2;1467;45.4;36;No Failure
2588;L49767;L;299;308.7;2248;16.8;204;No Failure
1920;L49099;L;298.2;308;1658;30;3;No Failure
5913;M20772;M;300.7;310.3;1659;29.8;6;No Failure
8669;L55848;L;297.5;308.8;1502;45.9;150;No Failure
3143;L50322;L;300.6;310;1658;34.7;88;No Failure
5147;L52326;L;304.4;313.6;1585;38.9;9;No Failure
4438;L51617;L;302.4;310.2;1578;31.2;139;No Failure
9757;L56936;L;298.6;309.8;1597;35.9;213;No Failure
4058;L51237;L;302;310.9;1495;38.6;52;No Failure
1337;L48516;L;298.9;310.3;1583;32.6;230;No Failure
8109;M22968;M;300.3;311.8;1607;33.7;199;No Failure
4888;L52067;L;303.7;312.5;1481;33.3;182;No Failure
8378;L55557;L;298.8;309.7;1336;50.3;44;No Failure
8522;L55701;L;298.4;309.5;1376;50.4;202;No Failure
527;L47706;L;297.6;309.5;1373;50.6;55;No Failure
8696;M23555;M;297.2;308.6;1498;44.4;9;No Failure
9774;L56953;L;298.5;309.4;1560;37.9;37;No Failure
3848;M18707;M;302.3;311;1450;45.7;175;No Failure
2320;M17179;M;299.2;308.8;1700;33.5;185;No Failure
6983;L54162;L;300.7;311.1;1440;43;148;No Failure
3904;H33317;H;302.2;311.1;1476;39.6;96;No Failure
8937;L56116;L;297.4;308.3;1465;42;13;No Failure
4191;H33604;H;302.4;310.9;1444;40.7;174;No Failure
2751;H32164;H;299.7;309.2;1456;40.6;182;No Failure
6337;L53516;L;300.4;309.8;1395;48.1;201;No Failure
7874;L55053;L;300.7;312.4;1470;38.6;56;No Failure
9511;M24370;M;299.2;310.4;1504;43.3;37;No Failure
7007;H36420;H;300.6;310.6;1419;39.6;3;No Failure
3655;L50834;L;302.1;311.4;1603;35.9;104;No Failure
5537;M20396;M;302.3;311.8;1363;54;119;No Failure
8784;M23643;M;297.6;308.6;1254;45.8;31;No Failure
809;L47988;L;296.9;307.7;1424;43.3;120;No Failure
5803;L52982;L;301.4;310.8;1490;38;168;No Failure
1244;M16103;M;297.1;308.4;1432;53.4;199;No Failure
2585;L49764;L;299.1;308.8;1502;46.7;197;No Failure
2477;H31890;H;298.9;308.4;1449;42.4;149;No Failure
9708;L56887;L;299;310.1;1699;32.9;87;No Failure
7794;L54973;L;300.1;311.5;1434;40.8;80;No Failure
9379;L56558;L;297.6;308.3;1816;28.8;106;No Failure
1868;L49047;L;298.1;307.9;1502;41.8;79;No Failure
7746;L54925;L;300.4;311.7;1460;39.6;162;No Failure
1713;L48892;L;298.3;307.9;1551;33.8;72;No Failure
7503;H36916;H;300.3;311.7;1655;29.9;193;No Failure
4009;M18868;M;302.2;311.2;1471;41.9;166;No Failure
801;M15660;M;297;307.9;1882;24.2;97;No Failure
412;L47591;L;297.5;308.7;1429;44.3;201;No Failure
1881;L49060;L;298.1;307.7;1705;29.1;109;No Failure
3668;L50847;L;302.3;311.6;1665;34.3;139;No Failure
7296;M22155;M;300.1;310.5;1329;57.4;99;No Failure
557;L47736;L;297.5;309.4;1357;50.1;137;No Failure
1656;M16515;M;298.2;308;1577;35.9;151;No Failure
9755;M24614;M;298.5;309.7;1552;34;205;No Failure
376;L47555;L;297.4;308.2;1533;37.4;115;No Failure
2317;L49496;L;299.2;308.8;1542;39.2;179;No Failure
5242;L52421;L;303.7;313.1;1683;28.4;46;No Failure
1906;L49085;L;297.9;307.6;1687;29.1;176;No Failure
8243;M23102;M;299;310.3;1689;29.7;101;No Failure
5194;H34607;H;304;313.1;1408;39.8;132;No Failure
8434;M23293;M;298.8;310.1;1501;48.7;192;No Failure
570;M15429;M;297.7;309.6;1596;35.2;173;No Failure
4809;L51988;L;303.5;312.3;1404;48.6;193;No Failure
8406;M23265;M;298.4;309.5;1484;41.7;119;No Failure
3754;L50933;L;302.2;311;1463;46.8;150;No Failure
6435;M21294;M;300.3;309.9;1494;38.5;33;No Failure
78;L47257;L;298.8;308.9;1455;41.3;208;Tool Wear Failure
6261;L53440;L;301.1;310.7;1436;45.3;8;No Failure
3268;L50447;L;301.3;310;1550;41.5;197;No Failure
1266;L48445;L;297.9;309.4;1558;35.7;39;No Failure
6687;L53866;L;301.7;311;1715;24.8;17;No Failure
3875;L51054;L;302.6;311.7;1254;54.1;19;No Failure
6000;M20859;M;300.4;310.2;1671;30.5;234;Tool Wear Failure
7676;L54855;L;300.5;311.6;1447;45.4;204;No Failure
8866;L56045;L;297.9;309;1290;49.8;43;No Failure
5078;L52257;L;304.3;313.3;1775;24.9;39;No Failure
7675;L54854;L;300.5;311.6;1509;47.2;202;No Failure
7382;L54561;L;299.7;310.3;1495;43.1;101;No Failure
9542;M24401;M;299.5;310.8;1754;31.3;114;No Failure
6058;L53237;L;300.8;310.8;1689;32.9;151;No Failure
5069;M19928;M;304.3;313.3;1540;39;14;No Failure
9034;L56213;L;297.4;308.2;1386;41;35;No Failure
2033;L49212;L;298.8;308.5;1444;42.2;83;No Failure
1789;L48968;L;298.3;308;1442;47.3;65;No Failure
4490;L51669;L;302.5;310.4;1487;40.2;48;No Failure
7553;L54732;L;300.3;311.3;1525;40.7;105;No Failure
2017;L49196;L;298.5;308.3;1458;44;44;No Failure
4149;L51328;L;301.9;310.3;1972;21.3;67;No Failure
9336;L56515;L;298.4;308.9;1501;50;203;No Failure
6549;L53728;L;301.4;310.8;1770;24.1;112;No Failure
3628;L50807;L;302.2;311.5;1588;30.6;39;No Failure
7583;H36996;H;300.4;311.2;1489;45.3;180;No Failure
1825;L49004;L;298.1;307.5;1391;57.4;161;No Failure
8432;H37845;H;298.9;310.1;1324;54.6;185;No Failure
7171;M22030;M;300.3;310.2;1442;39.5;4;No Failure
5772;L52951;L;301.6;311.2;1525;43.7;91;No Failure
6220;H35633;H;301.1;310.6;1407;43.9;111;No Failure
3649;M18508;M;302.2;311.5;1443;47;90;No Failure
9988;M24847;M;298.8;308.6;1500;37.1;210;No Failure
6090;L53269;L;300.9;310.7;1509;37.5;12;No Failure
8521;M23380;M;298.3;309.5;1543;49.9;199;No Failure
7220;M22079;M;299.8;309.7;1556;37.7;124;No Failure
7398;L54577;L;299.7;310.6;1737;26.1;144;No Failure
6083;L53262;L;300.9;310.7;1352;46.4;212;No Failure
405;L47584;L;297.3;308.6;1297;45.9;184;No Failure
4583;L51762;L;302.9;311.2;1634;36.9;71;No Failure
3580;L50759;L;301.8;310.6;2672;11.8;124;Power Failure
7160;L54339;L;300.1;310;1511;41.7;186;No Failure
7698;L54877;L;300.5;311.4;1400;45.1;29;No Failure
2403;L49582;L;299.2;308.7;1325;51;171;No Failure
3883;L51062;L;302.5;311.6;1419;43.7;39;No Failure
678;L47857;L;297.9;309.2;1478;39.7;10;No Failure
5856;M20715;M;301.2;310.9;1424;45.2;68;No Failure
5676;M20535;M;302.3;311.7;1453;42.5;56;No Failure
1758;M16617;M;298.1;307.4;1335;56.2;190;No Failure
1172;H30585;H;297;308.1;1517;41.4;222;No Failure
3731;M18590;M;302.3;311.2;1405;47.7;88;No Failure
5160;L52339;L;304.2;313.4;1490;44;41;No Failure
9879;L57058;L;298.7;309.7;1293;59.1;125;No Failure
6281;M21140;M;301.2;310.7;1527;41.1;53;No Failure
7976;M22835;M;301.2;312.3;1548;38.3;87;No Failure
28;H29441;H;299.1;309.4;1811;24.6;77;No Failure
3908;M18767;M;302.3;311.2;1842;23.9;111;No Failure
9647;L56826;L;299.4;310.4;1582;31.7;181;No Failure
4863;L52042;L;303.5;312.1;1326;55.7;114;No Failure
8631;L55810;L;297.4;308.4;1371;57.4;52;No Failure
8202;M23061;M;299.3;310.9;1826;25.1;2;No Failure
6443;L53622;L;300.7;310.2;1348;54.8;50;No Failure
1001;L48180;L;296.3;307.1;1654;29.6;188;No Failure
9671;L56850;L;299;310.2;1690;30.7;244;No Failure
4382;L51561;L;301.9;309.6;1446;43.2;225;No Failure
6432;L53611;L;300.2;309.8;1353;59.4;26;No Failure
8852;M23711;M;297.7;308.9;1573;35.1;9;No Failure
2919;M17778;M;300.6;309.5;1492;34;144;No Failure
1161;H30574;H;297;307.7;1834;23.8;195;No Failure
6773;L53952;L;301.3;310.7;1536;39.3;31;No Failure
5344;L52523;L;303.5;312.8;1607;38.4;92;No Failure
4880;H34293;H;303.7;312.5;1520;35.6;154;No Failure
1910;L49089;L;298;307.7;1435;45.6;184;No Failure
5654;L52833;L;302.4;311.7;1495;36.8;215;No Failure
8343;L55522;L;298.7;309.7;1510;40.6;162;No Failure
3884;M18743;M;302.4;311.4;1534;40.1;41;No Failure
7307;L54486;L;300.1;310.5;1356;45.8;126;No Failure
9259;H38672;H;298.3;309;1379;43.2;0;No Failure
2522;L49701;L;298.8;308.6;1584;34.4;42;No Failure
7542;M22401;M;300.3;311.5;1528;40.9;76;No Failure
9627;M24486;M;299;310;1341;58.9;126;No Failure
5265;L52444;L;303.4;312.8;1376;53.4;98;No Failure
1933;M16792;M;298.1;308;1686;29.3;35;No Failure
2913;L50092;L;300.7;309.6;1661;30.3;129;No Failure
5149;L52328;L;304.4;313.6;1507;43.1;13;No Failure
6444;L53623;L;300.8;310.3;1537;33.3;52;No Failure
5991;M20850;M;300.7;310.7;1343;51.6;211;No Failure
6316;M21175;M;301;310.4;1517;46.1;145;No Failure
3815;M18674;M;302.1;310.6;1326;59.1;88;Heat Dissipation Failure
927;L48106;L;295.6;306.1;1372;55.6;215;Overstrain Failure
9149;L56328;L;297.6;308.6;1393;40.4;127;No Failure
